feature,ICC
original_firstorder_10Percentile,0.9872
original_firstorder_90Percentile,0.9912
original_firstorder_Energy,0.9992
original_firstorder_Entropy,0.1886
original_firstorder_InterquartileRange,0.1792
original_firstorder_Kurtosis,0.7439
original_firstorder_Maximum,0.9444
original_firstorder_MeanAbsoluteDeviation,0.1945
original_firstorder_Mean,0.9991
original_firstorder_Median,0.9991
original_firstorder_Minimum,0.9351
original_firstorder_Range,0.4177
original_firstorder_RobustMeanAbsoluteDeviation,0.1814
original_firstorder_RootMeanSquared,0.9992
original_firstorder_Skewness,0.8057
original_firstorder_Uniformity,0.1332
original_firstorder_Variance,0.2242
original_glcm_Autocorrelation,0.2761
original_glcm_ClusterProminence,0.3833
original_glcm_ClusterShade,0.935
original_glcm_ClusterTendency,0.2834
original_glcm_Contrast,0.0372
original_glcm_Correlation,0.8228
original_glcm_DifferenceAverage,0.0362
original_glcm_DifferenceEntropy,0.0359
original_glcm_DifferenceVariance,0.0376
original_glcm_Id,0.0356
original_glcm_Idm,0.0358
original_glcm_Idmn,0.8646
original_glcm_Idn,0.473
original_glcm_Imc1,0.5922
original_glcm_Imc2,0.7906
original_glcm_InverseVariance,0.0342
original_glcm_JointAverage,0.2739
original_glcm_JointEnergy,0.0589
original_glcm_JointEntropy,0.1113
original_glcm_MCC,0.8304
original_glcm_MaximumProbability,0.0703
original_glcm_SumAverage,0.2739
original_glcm_SumEntropy,0.1897
original_glcm_SumSquares,0.2054
original_glrlm_GrayLevelNonUniformity,0.988
original_glrlm_GrayLevelNonUniformityNormalized,0.2598
original_glrlm_GrayLevelVariance,0.2945
original_glrlm_HighGrayLevelRunEmphasis,0.2851
original_glrlm_LongRunEmphasis,0.0595
original_glrlm_LongRunHighGrayLevelEmphasis,0.4944
original_glrlm_LongRunLowGrayLevelEmphasis,0.0439
original_glrlm_LowGrayLevelRunEmphasis,0.3337
original_glrlm_RunEntropy,0.6254
original_glrlm_RunLengthNonUniformity,0.7834
original_glrlm_RunLengthNonUniformityNormalized,0.0776
original_glrlm_RunPercentage,0.0652
original_glrlm_RunVariance,0.0619
original_glrlm_ShortRunEmphasis,0.0781
original_glrlm_ShortRunHighGrayLevelEmphasis,0.1639
original_glrlm_ShortRunLowGrayLevelEmphasis,0.5724
original_glszm_GrayLevelNonUniformity,0.9456
original_glszm_GrayLevelNonUniformityNormalized,0.1641
original_glszm_GrayLevelVariance,0.2355
original_glszm_HighGrayLevelZoneEmphasis,0.3159
original_glszm_LargeAreaEmphasis,0.5736
original_glszm_LargeAreaHighGrayLevelEmphasis,0.7719
original_glszm_LargeAreaLowGrayLevelEmphasis,0.3727
original_glszm_LowGrayLevelZoneEmphasis,0.3411
original_glszm_SizeZoneNonUniformity,0.7874
original_glszm_SizeZoneNonUniformityNormalized,0.5211
original_glszm_SmallAreaEmphasis,0.2297
original_glszm_SmallAreaHighGrayLevelEmphasis,0.2614
original_glszm_SmallAreaLowGrayLevelEmphasis,0.3966
original_glszm_ZoneEntropy,0.7366
original_glszm_ZonePercentage,0.1706
original_glszm_ZoneVariance,0.5796
original_ngtdm_Busyness,0.8179
original_ngtdm_Coarseness,0.9959
original_ngtdm_Complexity,0.2971
original_ngtdm_Contrast,0.661
original_ngtdm_Strength,0.7199
original_gldm_DependenceEntropy,0.2344
original_gldm_DependenceNonUniformity,0.9972
original_gldm_DependenceNonUniformityNormalized,-0.0125
original_gldm_DependenceVariance,0.0314
original_gldm_GrayLevelNonUniformity,0.9635
original_gldm_GrayLevelVariance,0.2215
original_gldm_HighGrayLevelEmphasis,0.2737
original_gldm_LargeDependenceEmphasis,0.0599
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.7502
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.1254
original_gldm_LowGrayLevelEmphasis,0.3436
original_gldm_SmallDependenceEmphasis,0.103
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0876
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.7842
