,feature,Average ICC,F
14,Skewness,0.9215874999999999,24
10,Minimum,0.8946041666666668,24
5,Kurtosis,0.8886958333333332,22
11,Range,0.7425166666666668,13
6,Maximum,0.7217916666666667,12
2,Energy,0.6650625,8
16,Variance,0.6382708333333333,10
7,MeanAbsoluteDeviation,0.5995833333333334,8
0,10Percentile,0.5968041666666667,6
12,RobustMeanAbsoluteDeviation,0.5741291666666667,7
4,InterquartileRange,0.5681791666666667,7
1,90Percentile,0.5626125000000001,8
13,RootMeanSquared,0.5559333333333333,8
3,Entropy,0.5466833333333333,6
8,Mean,0.5463791666666667,6
9,Median,0.5393374999999999,6
15,Uniformity,0.48747083333333335,2
