,feature,Average Score,F
14,Skewness,0.8409916666666667,8
5,Kurtosis,0.8107416666666666,4
10,Minimum,0.8038124999999999,2
11,Range,0.7680625000000001,8
6,Maximum,0.7595041666666668,10
2,Energy,0.7297166666666666,5
16,Variance,0.7101041666666666,7
7,MeanAbsoluteDeviation,0.6847916666666666,5
1,90Percentile,0.6690666666666667,7
13,RootMeanSquared,0.6614749999999999,5
3,Entropy,0.6600916666666666,4
12,RobustMeanAbsoluteDeviation,0.6584666666666666,3
4,InterquartileRange,0.650375,2
8,Mean,0.6464166666666666,2
0,10Percentile,0.6322083333333334,1
9,Median,0.6242375,1
15,Uniformity,0.6193833333333334,2
